match_api_id,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_won,games_against_lost,League_1.0,League_1729.0
669,838817.0,7.0,-5.0,5.0,4.0,1.0,2.0,1,0
670,838819.0,11.0,1.0,7.0,3.0,0.0,2.0,1,0
671,838820.0,0.0,-6.0,1.0,2.0,1.0,2.0,1,0
672,838822.0,-3.0,-9.0,3.0,1.0,0.0,0.0,1,0
673,838823.0,-2.0,-6.0,2.0,3.0,0.0,0.0,1,0
674,838825.0,-11.0,-4.0,2.0,3.0,0.0,1.0,1,0
675,838827.0,0.0,12.0,3.0,8.0,0.0,2.0,1,0
676,838829.0,10.0,10.0,8.0,7.0,3.0,0.0,1,0
677,838830.0,-4.0,7.0,4.0,7.0,1.0,1.0,1,0
678,838832.0,-10.0,3.0,1.0,2.0,0.0,0.0,1,0
679,838833.0,-2.0,-3.0,2.0,3.0,0.0,0.0,1,0
680,838835.0,-8.0,-1.0,2.0,3.0,0.0,0.0,1,0
681,838838.0,-6.0,10.0,3.0,6.0,0.0,2.0,1,0
682,838839.0,-9.0,-8.0,1.0,2.0,0.0,0.0,1,0
683,838841.0,1.0,1.0,3.0,3.0,1.0,2.0,1,0
684,838853.0,8.0,-3.0,7.0,3.0,1.0,1.0,1,0
686,838855.0,11.0,2.0,7.0,4.0,0.0,0.0,1,0
687,838857.0,2.0,-4.0,2.0,3.0,0.0,3.0,1,0
688,838859.0,-3.0,-10.0,3.0,1.0,2.0,0.0,1,0
690,838862.0,-1.0,-8.0,3.0,1.0,0.0,0.0,1,0
691,838864.0,-4.0,9.0,2.0,7.0,0.0,1.0,1,0
692,838491.0,19.0,-18.0,8.0,0.0,2.0,0.0,1,0
693,838493.0,-3.0,-12.0,3.0,2.0,2.0,0.0,1,0
694,838494.0,4.0,-4.0,4.0,0.0,0.0,0.0,1,0
698,838499.0,-3.0,5.0,4.0,4.0,0.0,1.0,1,0
699,838500.0,10.0,6.0,6.0,4.0,0.0,3.0,1,0
700,838867.0,8.0,9.0,6.0,5.0,1.0,0.0,1,0
701,838869.0,-3.0,3.0,4.0,2.0,1.0,0.0,1,0
703,838872.0,-5.0,-6.0,3.0,2.0,1.0,0.0,1,0
704,838873.0,-2.0,-5.0,3.0,1.0,1.0,0.0,1,0
705,838874.0,-8.0,10.0,1.0,7.0,0.0,1.0,1,0
706,838875.0,4.0,-6.0,5.0,2.0,1.0,0.0,1,0
707,838876.0,0.0,8.0,3.0,6.0,1.0,2.0,1,0
708,838503.0,1.0,-7.0,3.0,3.0,0.0,1.0,1,0
709,838504.0,-22.0,-2.0,0.0,4.0,1.0,0.0,1,0
710,838506.0,-7.0,-3.0,1.0,3.0,0.0,0.0,1,0
711,838508.0,2.0,13.0,3.0,7.0,1.0,0.0,1,0
713,838511.0,-12.0,21.0,2.0,8.0,0.0,1.0,1,0
715,838515.0,-5.0,2.0,0.0,4.0,0.0,0.0,1,0
716,838517.0,24.0,5.0,9.0,3.0,3.0,0.0,1,0
718,838519.0,1.0,-20.0,4.0,0.0,0.0,1.0,1,0
720,838521.0,0.0,-8.0,0.0,0.0,0.0,0.0,1,0
721,838523.0,-4.0,-6.0,4.0,2.0,0.0,0.0,1,0
722,838524.0,1.0,2.0,4.0,3.0,0.0,1.0,1,0
723,838526.0,7.0,-14.0,6.0,2.0,1.0,0.0,1,0
724,838528.0,4.0,5.0,4.0,5.0,0.0,1.0,1,0
725,838529.0,-6.0,4.0,2.0,5.0,0.0,1.0,1,0
726,838531.0,-18.0,2.0,0.0,1.0,0.0,0.0,1,0
727,838532.0,-6.0,23.0,2.0,8.0,1.0,0.0,1,0
728,838534.0,6.0,-10.0,3.0,0.0,0.0,0.0,1,0
729,838536.0,-13.0,2.0,2.0,4.0,0.0,0.0,1,0
730,838537.0,2.0,-2.0,4.0,4.0,1.0,0.0,1,0
732,838540.0,21.0,4.0,8.0,5.0,2.0,0.0,1,0
733,838542.0,2.0,4.0,5.0,2.0,1.0,1.0,1,0
734,838543.0,5.0,-9.0,5.0,3.0,1.0,0.0,1,0
736,838546.0,0.0,-2.0,4.0,3.0,0.0,1.0,1,0
737,838547.0,-10.0,-14.0,0.0,1.0,0.0,0.0,1,0
739,838552.0,0.0,-8.0,4.0,2.0,1.0,0.0,1,0
740,838555.0,4.0,-11.0,4.0,0.0,0.0,0.0,1,0
742,838558.0,-10.0,8.0,2.0,6.0,0.0,0.0,1,0
743,838560.0,0.0,-8.0,1.0,2.0,1.0,0.0,1,0
744,838561.0,-13.0,5.0,2.0,6.0,0.0,2.0,1,0
745,838562.0,1.0,-2.0,5.0,3.0,0.0,0.0,1,0
746,838563.0,1.0,4.0,5.0,5.0,0.0,1.0,1,0
747,838564.0,0.0,19.0,0.0,8.0,0.0,0.0,1,0
748,838567.0,18.0,0.0,7.0,4.0,2.0,1.0,1,0
749,838568.0,5.0,-10.0,6.0,2.0,0.0,0.0,1,0
750,838570.0,8.0,1.0,6.0,2.0,0.0,0.0,1,0
751,838571.0,-8.0,8.0,2.0,5.0,0.0,1.0,1,0
753,838575.0,-15.0,-9.0,0.0,3.0,0.0,0.0,1,0
754,838576.0,0.0,1.0,4.0,3.0,1.0,1.0,1,0
755,838578.0,3.0,3.0,4.0,5.0,0.0,1.0,1,0
756,1032692.0,0.0,8.0,0.0,6.0,0.0,0.0,1,0
757,1032693.0,0.0,-3.0,0.0,4.0,0.0,0.0,1,0
758,1032694.0,5.0,2.0,6.0,2.0,2.0,0.0,1,0
761,1032697.0,-6.0,-8.0,2.0,1.0,0.0,0.0,1,0
762,1032698.0,0.0,-8.0,4.0,2.0,1.0,0.0,1,0
763,1032699.0,9.0,5.0,6.0,5.0,3.0,0.0,1,0
764,1032764.0,9.0,12.0,5.0,6.0,2.0,0.0,1,0
765,1032765.0,8.0,3.0,7.0,5.0,2.0,1.0,1,0
766,1032766.0,-12.0,-1.0,1.0,2.0,1.0,0.0,1,0
767,1032767.0,-9.0,-4.0,1.0,0.0,0.0,0.0,1,0
768,1032768.0,-5.0,-5.0,3.0,3.0,0.0,0.0,1,0
770,1032770.0,-5.0,0.0,4.0,3.0,1.0,1.0,1,0
771,1032771.0,3.0,4.0,2.0,4.0,0.0,0.0,1,0
773,1032773.0,3.0,5.0,4.0,3.0,0.0,0.0,1,0
774,1032774.0,10.0,0.0,6.0,3.0,2.0,1.0,1,0
775,1032775.0,1.0,-8.0,3.0,3.0,0.0,2.0,1,0
776,1032776.0,2.0,11.0,4.0,6.0,1.0,2.0,1,0
777,1032777.0,-3.0,-15.0,1.0,0.0,0.0,1.0,1,0
778,1032778.0,-6.0,12.0,2.0,7.0,1.0,2.0,1,0
780,1032780.0,5.0,7.0,5.0,5.0,0.0,2.0,1,0
781,1032781.0,14.0,-5.0,8.0,1.0,0.0,0.0,1,0
782,1032782.0,-12.0,-3.0,1.0,4.0,1.0,1.0,1,0
783,1032783.0,-8.0,2.0,1.0,4.0,3.0,0.0,1,0
784,1032784.0,-5.0,2.0,3.0,3.0,0.0,0.0,1,0
785,1032785.0,-3.0,3.0,2.0,5.0,0.0,1.0,1,0
786,1032786.0,-9.0,-9.0,2.0,1.0,0.0,0.0,1,0
787,1032787.0,3.0,9.0,3.0,6.0,0.0,0.0,1,0
788,1032788.0,-3.0,4.0,4.0,5.0,0.0,1.0,1,0
789,1032789.0,7.0,6.0,5.0,6.0,1.0,1.0,1,0
790,1032790.0,9.0,-6.0,6.0,3.0,2.0,0.0,1,0
791,1032791.0,3.0,3.0,3.0,3.0,0.0,0.0,1,0
792,1032792.0,-6.0,-12.0,1.0,1.0,2.0,1.0,1,0
793,1032793.0,-9.0,-4.0,1.0,4.0,0.0,0.0,1,0
794,1032794.0,-10.0,-6.0,1.0,2.0,0.0,2.0,1,0
795,1032795.0,3.0,16.0,4.0,8.0,1.0,2.0,1,0
796,1032796.0,2.0,4.0,4.0,5.0,1.0,2.0,1,0
797,1032797.0,14.0,-10.0,7.0,1.0,2.0,1.0,1,0
799,1032799.0,-7.0,-4.0,3.0,4.0,0.0,0.0,1,0
801,1032801.0,4.0,14.0,5.0,7.0,1.0,2.0,1,0
803,1032803.0,1.0,-6.0,3.0,2.0,0.0,0.0,1,0
804,1032804.0,0.0,-11.0,5.0,2.0,1.0,1.0,1,0
805,1032805.0,16.0,5.0,7.0,4.0,1.0,0.0,1,0
806,1032806.0,3.0,2.0,3.0,5.0,1.0,2.0,1,0
807,1032807.0,-10.0,-8.0,1.0,3.0,0.0,0.0,1,0
808,1032808.0,-6.0,16.0,1.0,8.0,0.0,2.0,1,0
809,1032809.0,-7.0,3.0,2.0,5.0,0.0,1.0,1,0
811,1032811.0,5.0,-2.0,5.0,3.0,1.0,1.0,1,0
812,1032812.0,17.0,-8.0,9.0,3.0,0.0,1.0,1,0
813,1032813.0,-1.0,17.0,5.0,7.0,1.0,2.0,1,0
814,1032814.0,2.0,3.0,3.0,4.0,0.0,3.0,1,0
815,1032815.0,-5.0,0.0,2.0,3.0,0.0,1.0,1,0
816,1032816.0,-6.0,-1.0,1.0,3.0,0.0,1.0,1,0
817,1032817.0,-7.0,-13.0,2.0,1.0,0.0,1.0,1,0
819,1032819.0,4.0,-1.0,4.0,5.0,1.0,2.0,1,0
820,1032820.0,4.0,-5.0,6.0,2.0,1.0,1.0,1,0
821,1032821.0,2.0,-7.0,4.0,2.0,0.0,0.0,1,0
823,1032823.0,-3.0,-1.0,2.0,5.0,1.0,1.0,1,0
825,1032825.0,-13.0,15.0,1.0,8.0,0.0,3.0,1,0
826,1032826.0,1.0,1.0,4.0,3.0,0.0,0.0,1,0
